Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,99457.298828125,HOLD
2018-01-03,99738.10546875,HOLD
2018-01-04,100433.43994140625,HOLD
2018-01-05,101643.16357421875,HOLD
2018-01-08,102592.9130859375,HOLD
2018-01-09,102389.4169921875,HOLD
2018-01-10,106067.7548828125,HOLD
2018-01-11,105460.96142578125,HOLD
2018-01-12,104927.67138671875,HOLD
2018-01-15,103787.62158203125,HOLD
2018-01-16,107735.42333984375,HOLD
2018-01-17,109171.3173828125,HOLD
2018-01-18,110273.71142578125,HOLD
2018-01-19,111822.68505859375,HOLD
2018-01-22,118021.9375,HOLD
2018-01-23,117477.92236328125,HOLD
2018-01-24,120220.56005859375,HOLD
2018-01-25,118197.58203125,HOLD
2018-01-29,121136.640625,HOLD
2018-01-30,119398.89404296875,HOLD
2018-01-31,117868.93359375,HOLD
2018-02-01,118860.5615234375,HOLD
2018-02-02,119429.115234375,HOLD
2018-02-05,117523.259765625,HOLD
2018-02-06,113520.75439453125,HOLD
2018-02-07,111926.58935546875,HOLD
2018-02-08,112649.94384765625,HOLD
2018-02-09,112555.5517578125,HOLD
2018-02-12,112389.3408203125,HOLD
2018-02-14,110292.71337890625,HOLD
2018-02-15,110823.46533203125,HOLD
2018-02-16,111095.478515625,HOLD
2018-02-19,110738.484375,HOLD
2018-02-20,111537.45361328125,HOLD
2018-02-21,115222.6533203125,HOLD
2018-02-22,115521.03564453125,HOLD
2018-02-23,116488.1474609375,HOLD
2018-02-26,114822.197265625,HOLD
2018-02-27,115224.50634765625,HOLD
2018-02-28,114948.75341796875,HOLD
2018-03-01,115048.8505859375,HOLD
2018-03-05,117623.40185546875,HOLD
2018-03-06,115241.5205078125,HOLD
2018-03-07,114661.646484375,HOLD
2018-03-08,113773.8330078125,HOLD
2018-03-09,114912.8720703125,HOLD
2018-03-12,115594.72998046875,HOLD
2018-03-13,109348.27587890625,HOLD
2018-03-14,109352.060546875,HOLD
2018-03-15,108702.265625,HOLD
2018-03-16,107040.0888671875,HOLD
2018-03-19,107240.27197265625,HOLD
2018-03-20,108519.06298828125,HOLD
2018-03-21,108213.07763671875,HOLD
2018-03-22,107253.50146484375,HOLD
2018-03-23,106754.84619140625,HOLD
2018-03-26,106711.42919921875,HOLD
2018-03-27,107871.166015625,HOLD
2018-03-28,107925.95947265625,HOLD
2018-04-02,110211.4833984375,HOLD
2018-04-03,110271.91455078125,HOLD
2018-04-04,110258.70751953125,HOLD
2018-04-05,112036.1201171875,HOLD
2018-04-06,111747.1376953125,HOLD
2018-04-09,110749.81591796875,HOLD
2018-04-10,111267.36083984375,HOLD
2018-04-11,114159.1728515625,HOLD
2018-04-12,118885.12255859375,HOLD
2018-04-13,119415.8857421875,HOLD
2018-04-16,120713.521484375,HOLD
2018-04-17,119918.3369140625,HOLD
2018-04-18,119635.0146484375,HOLD
2018-04-19,120845.73779296875,HOLD
2018-04-20,128828.08544921875,HOLD
2018-04-23,129062.3193359375,HOLD
2018-04-24,128193.42919921875,HOLD
2018-04-25,131389.384765625,HOLD
2018-04-26,133995.9990234375,HOLD
2018-04-27,130698.07080078125,HOLD
2018-04-30,133725.8837890625,HOLD
2018-05-02,132503.806640625,HOLD
2018-05-03,131827.58642578125,HOLD
2018-05-04,131786.044921875,HOLD
2018-05-07,129526.9912109375,HOLD
2018-05-08,130291.943359375,HOLD
2018-05-09,132109.033203125,HOLD
2018-05-10,130671.58935546875,HOLD
2018-05-11,130886.9560546875,HOLD
2018-05-14,130002.97216796875,HOLD
2018-05-15,131848.40771484375,HOLD
2018-05-16,132282.8134765625,HOLD
2018-05-17,132203.4814453125,HOLD
2018-05-18,132590.69677734375,HOLD
2018-05-21,134657.10302734375,HOLD
2018-05-22,132849.48046875,HOLD
2018-05-23,132328.15087890625,HOLD
2018-05-24,136430.75341796875,HOLD
2018-05-25,135754.56689453125,HOLD
2018-05-28,132590.69677734375,HOLD
2018-05-29,133401.03125,HOLD
2018-05-30,133045.91259765625,HOLD
2018-05-31,132931.63134765625,HOLD
2018-06-01,132276.45703125,HOLD
2018-06-04,133175.4111328125,HOLD
2018-06-05,131449.88330078125,HOLD
2018-06-06,131766.02099609375,HOLD
2018-06-07,132512.64501953125,HOLD
2018-06-08,133392.52978515625,HOLD
2018-06-11,133590.61279296875,HOLD
2018-06-12,135975.1669921875,HOLD
2018-06-13,139258.6416015625,HOLD
2018-06-14,136474.181640625,HOLD
2018-06-15,140473.80078125,HOLD
2018-06-18,139631.95361328125,HOLD
2018-06-19,139289.1435546875,HOLD
2018-06-20,139132.9501953125,HOLD
2018-06-21,138896.78466796875,HOLD
2018-06-22,138169.22998046875,HOLD
2018-06-25,138889.13671875,HOLD
2018-06-26,141384.15380859375,HOLD
2018-06-27,141841.25634765625,HOLD
2018-06-28,140675.62353515625,HOLD
2018-06-29,141060.345703125,HOLD
2018-07-02,141334.68359375,HOLD
2018-07-03,143063.99609375,HOLD
2018-07-04,142462.12158203125,HOLD
2018-07-05,143540.1455078125,HOLD
2018-07-06,146027.50341796875,HOLD
2018-07-09,143745.83154296875,HOLD
2018-07-10,143143.96826171875,HOLD
2018-07-11,151127.9892578125,HOLD
2018-07-12,150476.61083984375,HOLD
2018-07-13,151219.4052734375,HOLD
2018-07-16,151836.46337890625,HOLD
2018-07-17,153130.37060546875,HOLD
2018-07-18,152985.3515625,HOLD
2018-07-19,151546.42529296875,HOLD
2018-07-20,152706.71240234375,HOLD
2018-07-23,153397.5771484375,HOLD
2018-07-24,152889.90380859375,HOLD
2018-07-25,151554.0283203125,HOLD
2018-07-26,150271.576171875,HOLD
2018-07-27,148672.357421875,HOLD
2018-07-30,148737.2021484375,HOLD
2018-07-31,148401.33251953125,HOLD
2018-08-01,151172.38330078125,HOLD
2018-08-02,149027.3076171875,HOLD
2018-08-03,151397.57666015625,HOLD
2018-08-06,151099.80078125,HOLD
2018-08-07,150473.87060546875,HOLD
2018-08-08,150981.53271484375,HOLD
2018-08-09,151008.205078125,HOLD
2018-08-10,152439.55078125,HOLD
2018-08-13,152977.6923828125,HOLD
2018-08-14,153237.28466796875,HOLD
2018-08-16,153615.1337890625,HOLD
2018-08-17,153939.5595703125,HOLD
2018-08-20,153725.81005859375,HOLD
2018-08-21,154313.59033203125,HOLD
2018-08-23,155645.6923828125,HOLD
2018-08-24,156248.71240234375,HOLD
2018-08-27,156851.78857421875,HOLD
2018-08-28,158248.7802734375,HOLD
2018-08-29,158462.52978515625,HOLD
2018-08-30,159256.41162109375,HOLD
2018-08-31,158951.05517578125,HOLD
2018-09-03,157004.466796875,HOLD
2018-09-04,160515.95361328125,HOLD
2018-09-05,159015.9111328125,HOLD
2018-09-06,158714.40673828125,HOLD
2018-09-07,159061.7314453125,HOLD
2018-09-10,159130.45068359375,HOLD
2018-09-11,156496.8271484375,HOLD
2018-09-12,156321.25,HOLD
2018-09-14,157958.65234375,HOLD
2018-09-17,158626.60693359375,HOLD
2018-09-18,158367.07080078125,HOLD
2018-09-19,158912.8603515625,HOLD
2018-09-21,160840.40185546875,HOLD
2018-09-24,168115.21875,HOLD
2018-09-25,166951.07958984375,HOLD
2018-09-26,163817.5654296875,HOLD
2018-09-27,167382.46435546875,HOLD
2018-09-28,166989.30810546875,HOLD
2018-10-01,172474.08935546875,HOLD
2018-10-03,165397.6923828125,HOLD
2018-10-04,157912.8994140625,HOLD
2018-10-05,160802.20703125,HOLD
2018-10-08,158886.16552734375,HOLD
2018-10-09,159974.0048828125,HOLD
2018-10-10,156294.51025390625,HOLD
2018-10-11,151435.7041015625,HOLD
2018-10-12,146729.5537109375,HOLD
2018-10-15,149111.27783203125,HOLD
2018-10-16,150088.37353515625,HOLD
2018-10-17,147576.9150390625,HOLD
2018-10-19,146340.24951171875,HOLD
2018-10-22,145561.57373046875,HOLD
2018-10-23,141327.4736328125,HOLD
2018-10-24,141698.5283203125,HOLD
2018-10-25,142042.7197265625,HOLD
2018-10-26,137919.50927734375,HOLD
2018-10-29,143419.6875,HOLD
2018-10-30,145240.31494140625,HOLD
2018-10-31,148556.44775390625,HOLD
2018-11-01,148372.87451171875,HOLD
2018-11-02,146667.0,HOLD
2018-11-05,144938.13671875,HOLD
2018-11-06,148139.59521484375,HOLD
2018-11-07,148862.47802734375,HOLD
2018-11-09,146341.900390625,HOLD
2018-11-12,146774.1162109375,HOLD
2018-11-13,148311.6796875,HOLD
2018-11-14,144157.92236328125,HOLD
