Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-07-11,BUY,93.46561661911011,1016,95056.02755150087,4943.972448499131,94.96106648501586,47.45680484008789
2018-10-12,SELL,108.53961326217652,1016,110165.97082729696,115109.94327579609,110.27624707437134,55.16570639038086
2019-01-21,BUY,116.03340579986573,942,109412.77173173698,5697.171544059107,109.30346826347352,54.62442192077638
2019-03-08,SELL,118.24063953399659,942,111271.29975858376,116968.47130264287,111.38268244102478,55.71920082092285
2019-04-10,BUY,129.06039333343506,860,111102.9302050209,5865.541097621972,110.99193826675415,55.46823501586914
2019-07-08,SELL,122.46187838363649,860,105211.89819451745,111077.43929213942,105.31721540992737,52.68495018005371
2019-10-17,BUY,113.83493467712401,926,105516.56066052784,5560.878631611573,105.41114951101683,52.67923513793946
2019-11-25,SELL,111.49582942199707,926,103141.89290672452,108702.77153833609,103.24513804476929,51.648393218994144
2019-12-19,BUY,114.45497262954711,902,103341.62369716333,5361.1478411727585,103.2383853118515,51.593395957946775
2020-01-31,SELL,109.08972259140013,902,98300.53084766548,103661.67868883823,98.39892977744292,49.22407692718505
2020-05-28,BUY,91.92902870178222,1071,98554.44572934834,5107.232959489891,98.45598973960875,49.203393173217776
2020-08-26,SELL,125.32879900360108,1071,134092.9165891239,139200.1495486138,134.22714373285675,67.14714543914795
2020-09-14,BUY,141.66338662719727,933,132304.1116628982,6896.037885715574,132.17193972317506,66.05294338989258
2021-03-01,SELL,191.33619932556152,933,178338.15729677817,185234.19518249374,178.5166739707489,89.30298847961426
2021-04-08,BUY,204.3300192260742,861,176104.07470020352,9130.120482290222,175.9281465536499,87.92011322021484
2021-10-01,SELL,293.7684475708008,861,252681.698725101,261811.81920739124,252.93463335845948,126.53058197021484
2021-10-18,BUY,328.0327088012695,758,248897.44206463362,12914.377142757614,248.64879327136228,124.2622655029297
2021-11-25,SELL,293.9762903747559,758,222611.1940759609,235525.5712187185,222.83402810406497,111.4727504272461
2021-12-20,BUY,307.78916313171385,726,223678.38736605787,11847.183852660644,223.45493243362426,111.67163040161132
2022-01-14,SELL,295.40761170959473,726,214251.4601750646,226098.64402772524,214.46592610116576,107.28660635375977
2022-03-09,BUY,271.0472906341553,792,214884.1236364332,11214.520391292026,214.66945418225097,107.28108654785156
2022-04-12,SELL,260.5332119293213,792,206135.96154417444,217350.48193546647,206.34230384802245,103.22276330566406
2022-08-02,BUY,200.53170378112787,1029,206553.47031397134,10797.011621495127,206.3471231907806,103.12200059509274
2022-08-30,SELL,192.84681143951417,1029,198240.92960228882,209037.94122378394,198.43936897126008,99.26931914520264
2022-11-14,BUY,185.10437727355958,1072,198630.32432969307,10407.616894090868,198.43189243725587,99.16636303710939
2022-12-26,SELL,177.4349197998047,1072,190020.02379136527,200427.64068545614,190.21023402539066,95.15269335937501
2023-04-25,BUY,175.7804122009277,1083,190560.5566000183,9867.084085437848,190.3701864136047,95.13752444458008
2023-06-19,SELL,177.7083578414917,1083,192265.69339079317,202132.77747623101,192.45815154233551,96.27721437835693
2023-07-17,BUY,194.31072985839842,988,192170.98010119773,9961.79737503329,191.97900110009763,95.94152978515625
2023-10-20,SELL,183.17774397277827,988,180798.63143405985,190760.42880909314,180.97961104510495,90.53507305908201
2023-11-21,BUY,187.4788396682739,966,181285.66367867214,9474.765130421001,181.10455911955262,90.50702604675293
2024-03-20,SELL,231.18795232391358,966,223104.23438295562,232578.99951337662,223.3275619449005,111.71964079284668
2024-06-10,BUY,222.86120706939695,991,221076.31166197814,11502.687851398485,220.85545620577238,110.37254183197021
2025-01-06,SELL,275.73904515075685,991,272984.13635065564,284486.8242020541,273.2573937444001,136.69704539489746
2025-01-24,BUY,300.2119816589355,900,270460.9742765349,14025.8499255192,270.1907834930419,135.02787780761716
2025-02-25,SELL,278.3515993041992,900,250265.92293440553,264291.7728599247,250.51643937377932,125.32088012695313
2025-05-13,BUY,240.62812747192382,1043,251226.11209016974,13065.660769754963,250.97513695321655,125.42485604858399
2025-07-14,SELL,242.94847232055665,1043,253141.86137371024,266207.52214346523,253.39525663034058,126.76100881958008
2025-11-27,BUY,243.40076859283445,1039,253146.29196652293,13061.230176942307,252.89339856795502,126.3835075302124
2026-01-20,SELL,233.74531253051754,1039,242618.51833948854,255679.74851643085,242.86137971920775,121.49143557739255
