Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,100679.10975646974,HOLD
2018-01-03,97915.3278274536,HOLD
2018-01-04,98452.30324554443,HOLD
2018-01-05,97788.99558258057,HOLD
2018-01-08,98294.37385559082,HOLD
2018-01-09,100205.32862854002,HOLD
2018-01-10,103205.96591186525,HOLD
2018-01-11,101437.16660308838,HOLD
2018-01-12,100710.67873382568,HOLD
2018-01-15,99510.43790435791,HOLD
2018-01-16,104864.2350692749,HOLD
2018-01-17,102890.10713195801,HOLD
2018-01-18,102779.56993865968,HOLD
2018-01-19,103916.64464569093,HOLD
2018-01-22,101579.30094146729,HOLD
2018-01-23,99589.39907836914,HOLD
2018-01-24,99178.78407287599,HOLD
2018-01-25,98547.05947113037,HOLD
2018-01-29,98294.37385559082,HOLD
2018-01-30,97078.31684875488,HOLD
2018-01-31,96571.29780578613,HOLD
2018-02-01,95319.58750152588,HOLD
2018-02-02,95272.04038238525,HOLD
2018-02-05,94685.81369781494,HOLD
2018-02-06,93386.55627441406,HOLD
2018-02-07,91707.04161071777,HOLD
2018-02-08,91849.64071655275,HOLD
2018-02-09,90328.56950378417,HOLD
2018-02-12,91580.27980804443,HOLD
2018-02-14,93006.29903411865,HOLD
2018-02-15,92705.24943542479,HOLD
2018-02-16,92229.91204071045,HOLD
2018-02-19,91897.17375183104,HOLD
2018-02-20,92372.50410461426,HOLD
2018-02-21,92610.18336486815,HOLD
2018-02-22,92752.78247070312,HOLD
2018-02-23,93497.46669006349,HOLD
2018-02-26,92420.04418182372,HOLD
2018-02-27,92467.57721710207,HOLD
2018-02-28,92800.31550598145,HOLD
2018-03-01,92705.24943542479,HOLD
2018-03-05,92214.06065368652,HOLD
2018-03-06,90946.51304626465,HOLD
2018-03-07,90439.48696136475,HOLD
2018-03-08,90391.95392608644,HOLD
2018-03-09,90344.42089080809,HOLD
2018-03-12,92134.83892822266,HOLD
2018-03-13,94004.49981689453,HOLD
2018-03-14,93133.04675292969,HOLD
2018-03-15,92990.44060516357,HOLD
2018-03-16,93735.14595031738,HOLD
2018-03-19,91485.22077941895,HOLD
2018-03-20,93053.82502746582,HOLD
2018-03-21,93576.6954574585,HOLD
2018-03-22,91421.850440979,HOLD
2018-03-23,90217.6520462036,HOLD
2018-03-26,86842.7854156494,HOLD
2018-03-27,86858.62976074219,HOLD
2018-03-28,89108.54084777832,HOLD
2018-04-02,91802.1076812744,HOLD
2018-04-03,89979.99391174315,HOLD
2018-04-04,89251.14699554443,HOLD
2018-04-05,90724.67813110352,HOLD
2018-04-06,89995.83825683594,HOLD
2018-04-09,90344.42089080809,HOLD
2018-04-10,90645.45640563965,HOLD
2018-04-11,90550.39737701416,HOLD
2018-04-12,90914.81027221678,HOLD
2018-04-13,93228.10578155519,HOLD
2018-04-16,91881.32236480713,HOLD
2018-04-17,90249.34777832031,HOLD
2018-04-18,92752.78247070312,HOLD
2018-04-19,92689.39804840088,HOLD
2018-04-20,94463.97174072266,HOLD
2018-04-23,94242.15795135497,HOLD
2018-04-24,90946.51304626465,HOLD
2018-04-25,91009.87634277344,HOLD
2018-04-26,89171.9182281494,HOLD
2018-04-27,87524.09225463866,HOLD
2018-04-30,88347.99819946289,HOLD
2018-05-02,87333.96715545656,HOLD
2018-05-03,86034.71677398682,HOLD
2018-05-04,85543.549118042,HOLD
2018-05-07,87080.44355010985,HOLD
2018-05-08,86446.66270446777,HOLD
2018-05-09,85654.44544982912,HOLD
2018-05-10,85717.82987213135,HOLD
2018-05-11,86414.97401428224,HOLD
2018-05-14,86319.90794372559,HOLD
2018-05-15,85892.12471008301,HOLD
2018-05-16,87064.6132888794,HOLD
2018-05-17,88221.26456451416,HOLD
2018-05-18,85226.64813232422,HOLD
2018-05-21,83943.24913787843,HOLD
2018-05-22,83974.94486999513,HOLD
2018-05-23,83499.60747528076,HOLD
2018-05-24,83784.79160308838,HOLD
2018-05-25,83864.0344543457,HOLD
2018-05-28,83452.06035614014,HOLD
2018-05-29,83356.98724365234,HOLD
2018-05-30,82675.68744659424,HOLD
2018-05-31,83008.41869354248,HOLD
2018-06-01,82596.46572113037,HOLD
2018-06-04,82453.86661529541,HOLD
2018-06-05,80901.10671234131,HOLD
2018-06-06,82168.66136169434,HOLD
2018-06-07,83864.0344543457,HOLD
2018-06-08,83673.90231323241,HOLD
2018-06-11,83800.65003204346,HOLD
2018-06-12,84450.26818084718,HOLD
2018-06-13,85194.95944213866,HOLD
2018-06-14,84434.4238357544,HOLD
2018-06-15,84592.86024475099,HOLD
2018-06-18,84228.44734954834,HOLD
2018-06-19,82723.2134399414,HOLD
