Pair,Strategy,Final_Value,Total_Return,Trades,Win_Rate,Net_PnL
EUR_USD,Trend,85799.98,-14.2,74,27.0,-14200.02
EUR_USD,MeanReversion,104625.62,4.63,25,40.0,4625.61
EUR_USD,Breakout,80395.36,-19.6,51,19.6,-19604.66
GBP_USD,Trend,83414.3,-16.59,65,24.6,-16585.67
GBP_USD,MeanReversion,108908.32,8.91,21,47.6,8908.32
GBP_USD,Breakout,86928.12,-13.07,58,25.9,-13071.89
USD_JPY,Trend,168579.94,68.58,75,41.3,68579.91
USD_JPY,MeanReversion,96942.0,-3.06,18,33.3,-3058.02
USD_JPY,Breakout,158327.77,58.33,34,47.1,58327.78
AUD_USD,Trend,94379.92,-5.62,89,32.6,-5620.06
AUD_USD,MeanReversion,92648.11,-7.35,28,25.0,-7351.9
AUD_USD,Breakout,95332.5,-4.67,65,32.3,-4667.49
USD_CHF,Trend,127974.92,27.97,72,47.2,27974.96
USD_CHF,MeanReversion,96956.04,-3.04,15,26.7,-3043.98
USD_CHF,Breakout,117624.38,17.62,41,48.8,17624.35
USD_CAD,Trend,129068.02,29.07,70,44.3,29067.99
USD_CAD,MeanReversion,90644.75,-9.36,31,25.8,-9355.25
USD_CAD,Breakout,88532.01,-11.47,45,26.7,-11468.0
NZD_USD,Trend,95398.08,-4.6,54,31.5,-4601.92
NZD_USD,MeanReversion,86525.72,-13.47,46,23.9,-13474.27
NZD_USD,Breakout,93557.44,-6.44,53,30.2,-6442.54
EUR_JPY,Trend,48434.55,-51.57,55,23.6,-51565.43
EUR_JPY,MeanReversion,97484.29,-2.52,24,33.3,-2515.72
EUR_JPY,Breakout,66138.4,-33.86,38,26.3,-33861.57
