Pair,Strategy,Total_Return,Annual_Return,Volatility,Max_Drawdown,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Exposure_Pct,Win_Rate,Profit_Factor,Expectancy,Num_Trades,Avg_Hold_Days,Final_Value
AUD_USD,Trend,-5.62,-0.67,5.5,-16.41,-0.641,-0.901,-0.041,37.1,32.6,0.9,-63.15,89,12.6,94379.92
AUD_USD,Breakout,-4.67,-0.56,4.59,-12.7,-0.753,-1.019,-0.044,27.2,32.3,0.89,-71.81,65,12.6,95332.5
AUD_USD,MeanReversion,-7.35,-0.89,2.79,-10.57,-1.379,-1.765,-0.084,8.9,25.0,0.64,-262.57,28,9.6,92648.11
EUR_JPY,MeanReversion,-2.52,-0.3,9.08,-31.31,-0.318,-0.511,-0.009,10.1,33.3,0.96,-104.82,24,12.5,97484.29
EUR_JPY,Trend,-51.57,-8.11,14.34,-65.36,-0.728,-1.023,-0.124,30.4,23.6,0.52,-937.55,55,16.7,48434.55
EUR_JPY,Breakout,-33.86,-4.71,9.59,-51.44,-0.768,-1.041,-0.092,12.5,26.3,0.62,-891.09,38,9.9,66138.4
EUR_USD,MeanReversion,4.63,0.53,3.0,-4.57,-0.809,-1.12,0.116,9.7,40.0,1.3,185.02,25,11.6,104625.62
EUR_USD,Trend,-14.2,-1.77,4.51,-18.61,-1.039,-1.417,-0.095,25.9,27.0,0.72,-191.89,74,10.7,85799.98
EUR_USD,Breakout,-19.6,-2.51,3.81,-23.04,-1.436,-1.881,-0.109,22.4,19.6,0.49,-384.41,51,13.3,80395.36
GBP_USD,MeanReversion,8.91,1.0,2.36,-4.45,-0.839,-1.229,0.225,6.1,47.6,1.78,424.21,21,8.8,108908.32
GBP_USD,Trend,-16.59,-2.09,4.6,-18.83,-1.089,-1.42,-0.111,28.9,24.6,0.63,-255.16,65,13.5,83414.3
GBP_USD,Breakout,-13.07,-1.62,3.92,-13.65,-1.163,-1.527,-0.119,19.4,25.9,0.68,-225.38,58,10.1,86928.12
NZD_USD,Trend,-4.6,-0.55,4.18,-14.51,-0.829,-1.154,-0.038,25.8,31.5,0.88,-85.22,54,14.6,95398.08
NZD_USD,Breakout,-6.44,-0.77,3.98,-16.7,-0.929,-1.298,-0.046,25.4,30.2,0.84,-121.56,53,14.5,93557.44
NZD_USD,MeanReversion,-13.47,-1.68,3.4,-21.63,-1.363,-1.751,-0.077,11.2,23.9,0.59,-292.92,46,7.4,86525.72
USD_CAD,Trend,29.07,3.02,6.33,-8.76,0.028,0.005,0.345,33.7,44.3,1.55,415.26,70,14.6,129068.02
USD_CAD,Breakout,-11.47,-1.41,4.37,-13.48,-0.991,-1.335,-0.105,16.8,26.7,0.69,-254.84,45,11.4,88532.01
USD_CAD,MeanReversion,-9.36,-1.14,3.14,-15.74,-1.303,-1.681,-0.072,7.0,25.8,0.64,-301.78,31,6.7,90644.75
USD_CHF,Trend,27.97,2.92,4.44,-9.32,-0.005,-0.026,0.314,32.8,47.2,1.79,388.54,72,13.8,127974.92
USD_CHF,Breakout,17.62,1.91,3.3,-5.47,-0.318,-0.515,0.35,21.0,48.8,1.95,429.86,41,15.6,117624.38
USD_CHF,MeanReversion,-3.04,-0.36,1.61,-6.24,-2.076,-2.586,-0.058,4.0,26.7,0.69,-202.93,15,7.9,96956.04
USD_JPY,Trend,68.58,6.29,15.65,-43.84,0.276,0.299,0.143,35.4,41.3,1.41,914.4,75,14.3,168579.94
USD_JPY,Breakout,58.33,5.51,11.43,-16.43,0.264,0.33,0.335,18.9,47.1,1.67,1715.52,34,16.9,158327.77
USD_JPY,MeanReversion,-3.06,-0.36,6.97,-24.48,-0.448,-0.651,-0.015,7.5,33.3,0.91,-169.89,18,12.4,96942.0
